iter	Passed	Remaining
0	134	134505
1	136	68106
2	138	45876
3	139	34773
4	141	28216
5	144	23882
6	145	20703
7	147	18319
8	148	16391
9	149	14825
10	150	13538
11	151	12467
12	152	11588
13	153	10837
14	154	10170
15	155	9571
16	156	9038
17	157	8582
18	157	8153
19	158	7764
20	159	7414
21	159	7094
22	160	6802
23	160	6536
24	161	6297
25	162	6074
26	162	5864
27	163	5668
28	163	5486
29	164	5315
30	164	5156
31	165	5013
32	166	4883
33	167	4760
34	168	4645
35	169	4529
36	170	4428
37	170	4322
38	171	4220
39	171	4124
40	172	4033
41	173	3946
42	173	3863
43	174	3788
44	174	3712
45	175	3639
46	176	3569
47	176	3502
48	177	3438
49	177	3376
50	178	3317
51	179	3265
52	179	3211
53	180	3164
54	181	3125
55	182	3080
56	183	3039
57	184	2993
58	184	2948
59	185	2905
60	185	2862
61	186	2822
62	187	2782
63	187	2744
64	188	2711
65	189	2675
66	189	2640
67	189	2603
68	190	2571
69	191	2538
70	191	2507
71	192	2477
72	192	2447
73	194	2431
74	195	2407
75	195	2380
76	196	2353
77	197	2329
78	197	2305
79	198	2280
80	199	2257
81	199	2234
82	200	2211
83	200	2188
84	201	2164
85	201	2143
86	202	2121
87	202	2101
88	203	2081
89	203	2062
90	204	2042
91	205	2024
92	205	2008
93	207	2001
94	208	1984
95	208	1967
96	209	1950
97	210	1933
98	210	1917
99	211	1900
100	211	1886
101	212	1869
102	212	1854
103	213	1839
104	214	1824
105	214	1810
106	215	1795
107	215	1781
108	216	1767
109	217	1756
110	217	1743
111	218	1731
112	218	1718
113	219	1709
114	221	1701
115	221	1690
116	222	1678
117	223	1666
118	223	1654
119	223	1642
120	224	1631
121	225	1619
122	225	1607
123	226	1599
124	227	1589
125	227	1579
126	228	1569
127	228	1558
128	229	1548
129	229	1538
130	230	1528
131	231	1521
132	231	1512
133	232	1502
134	233	1496
135	234	1490
136	235	1482
137	236	1474
138	236	1466
139	237	1457
140	237	1449
141	238	1440
142	238	1432
143	239	1424
144	240	1416
145	240	1409
146	241	1401
147	242	1393
148	242	1386
149	243	1378
150	243	1370
151	244	1363
152	244	1355
153	245	1348
154	246	1342
155	247	1338
156	248	1333
157	249	1327
158	249	1320
159	250	1313
160	250	1307
161	251	1300
162	252	1294
163	252	1287
164	253	1281
165	253	1274
166	254	1268
167	254	1261
168	255	1257
169	256	1250
170	256	1244
171	257	1239
172	258	1234
173	258	1228
174	259	1222
175	260	1220
176	262	1220
177	263	1214
178	263	1209
179	264	1203
180	264	1196
181	265	1191
182	265	1185
183	266	1180
184	266	1175
185	267	1170
186	268	1165
187	268	1160
188	269	1154
189	269	1149
190	270	1145
191	270	1140
192	271	1135
193	272	1131
194	272	1126
195	273	1122
196	274	1118
197	275	1115
198	276	1111
199	277	1109
200	278	1105
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1082
206	281	1077
207	281	1073
208	282	1070
209	283	1066
210	284	1062
211	284	1058
212	285	1054
213	285	1049
214	286	1045
215	287	1043
216	288	1041
217	289	1038
218	290	1034
219	290	1030
220	291	1026
221	291	1022
222	292	1018
223	292	1014
224	293	1011
225	294	1007
226	294	1003
227	295	999
228	295	995
229	296	992
230	297	990
231	298	987
232	298	983
233	299	979
234	299	976
235	300	972
236	301	969
237	301	966
238	302	963
239	303	959
240	303	956
241	304	952
242	304	949
243	305	945
244	305	942
245	306	940
246	307	936
247	308	934
248	309	933
249	310	932
250	311	929
251	312	927
252	313	925
253	314	923
254	315	921
255	316	919
256	317	916
257	317	913
258	318	911
259	319	909
260	320	907
261	321	904
262	321	902
263	322	899
264	323	896
265	323	894
266	324	891
267	326	891
268	327	889
269	328	887
270	329	885
271	329	882
272	330	880
273	331	878
274	332	876
275	333	873
276	333	871
277	334	869
278	335	867
279	336	864
280	337	862
281	337	860
282	338	857
283	339	855
284	341	855
285	342	854
286	342	852
287	343	850
288	344	847
289	345	845
290	345	842
291	346	840
292	347	838
293	348	836
294	349	834
295	349	831
296	350	829
297	351	827
298	351	824
299	352	823
300	353	821
301	354	820
302	355	818
303	357	817
304	357	815
305	358	813
306	359	810
307	359	808
308	360	806
309	361	804
310	362	802
311	363	800
312	363	798
313	364	796
314	365	794
315	365	791
316	367	791
317	368	789
318	368	787
319	369	785
320	370	783
321	371	781
322	372	780
323	372	778
324	373	776
325	374	773
326	375	771
327	375	769
328	376	768
329	377	766
330	378	764
331	378	762
332	379	760
333	381	760
334	382	759
335	383	757
336	384	755
337	384	753
338	385	751
339	386	750
340	387	748
341	388	746
342	388	744
343	389	742
344	390	740
345	391	739
346	392	737
347	392	736
348	394	735
349	394	733
350	395	732
351	396	730
352	397	728
353	398	726
354	398	724
355	399	722
356	400	720
357	401	719
358	401	717
359	402	715
360	403	713
361	404	712
362	404	710
363	405	708
364	406	707
365	408	707
366	409	705
367	409	703
368	410	702
369	411	700
370	412	698
371	412	697
372	413	695
373	414	693
374	415	692
375	481	799
376	482	797
377	483	795
378	484	793
379	484	791
380	486	789
381	487	787
382	487	785
383	488	784
384	489	782
385	490	780
386	493	781
387	494	780
388	495	777
389	495	775
390	496	772
391	496	770
392	497	768
393	497	765
394	498	763
395	499	761
396	499	759
397	500	756
398	500	754
399	501	752
400	502	749
401	502	747
402	503	745
403	504	743
404	504	741
405	505	739
406	506	737
407	507	736
408	508	734
409	508	732
410	509	730
411	509	727
412	510	725
413	511	723
414	511	721
415	512	719
416	512	716
417	513	715
418	514	712
419	514	710
420	515	708
421	516	706
422	516	704
423	517	702
424	517	700
425	518	698
426	519	696
427	520	695
428	521	693
429	521	691
430	522	689
431	523	687
432	523	685
433	524	683
434	524	681
435	525	679
436	525	677
437	526	675
438	527	673
439	527	671
440	528	670
441	529	668
442	529	666
443	530	664
444	530	662
445	531	660
446	532	658
447	533	657
448	534	656
449	535	654
450	535	652
451	536	650
452	537	648
453	537	646
454	538	644
455	538	642
456	539	640
457	540	639
458	540	637
459	541	635
460	542	634
461	542	632
462	543	630
463	543	628
464	544	626
465	545	624
466	545	622
467	546	621
468	548	620
469	548	618
470	549	616
471	549	615
472	550	613
473	550	611
474	551	609
475	551	607
476	552	606
477	553	604
478	554	602
479	554	600
480	555	598
481	555	597
482	556	595
483	556	593
484	557	592
485	558	590
486	558	588
487	559	586
488	559	585
489	560	583
490	562	582
491	562	580
492	563	579
493	563	577
494	564	575
495	564	574
496	565	572
497	566	570
498	566	569
499	567	567
500	568	566
501	568	564
502	569	562
503	570	561
504	570	559
505	571	557
506	572	556
507	572	554
508	573	553
509	574	552
510	575	550
511	576	549
512	576	547
513	577	546
514	578	544
515	578	542
516	579	541
517	579	539
518	580	537
519	580	536
520	581	534
521	582	533
522	582	531
523	583	529
524	583	528
525	584	526
526	584	524
527	585	523
528	585	521
529	586	520
530	587	518
531	588	517
532	589	516
533	590	514
534	590	513
535	591	512
536	592	510
537	593	509
538	593	507
539	594	506
540	595	504
541	595	503
542	596	502
543	597	500
544	598	499
545	598	498
546	599	496
547	600	495
548	602	495
549	603	493
550	604	492
551	604	491
552	605	489
553	606	488
554	607	486
555	608	485
556	608	484
557	609	482
558	610	481
559	610	480
560	611	478
561	612	477
562	613	475
563	613	474
564	614	473
565	616	472
566	616	471
567	617	469
568	618	468
569	619	466
570	619	465
571	620	464
572	621	463
573	622	461
574	622	460
575	623	459
576	624	457
577	624	456
578	625	454
579	626	453
580	627	452
581	628	451
582	629	450
583	630	449
584	631	447
585	631	446
586	632	445
587	633	443
588	633	442
589	634	441
590	635	439
591	636	438
592	637	437
593	637	435
594	638	434
595	639	433
596	639	431
597	642	431
598	643	430
599	644	429
600	644	428
601	645	426
602	646	425
603	647	424
604	647	422
605	648	421
606	649	420
607	649	418
608	650	417
609	651	416
610	652	415
611	652	413
612	654	413
613	655	411
614	655	410
615	656	409
616	657	407
617	657	406
618	658	405
619	659	404
620	660	403
621	661	401
622	661	400
623	662	399
624	663	397
625	664	396
626	665	395
627	666	394
628	667	393
629	668	392
630	668	391
631	669	390
632	670	388
633	671	387
634	671	386
635	672	384
636	673	383
637	673	382
638	675	381
639	675	380
640	676	378
641	677	377
642	677	376
643	678	375
644	680	374
645	681	373
646	682	372
647	682	370
648	683	369
649	684	368
650	685	367
651	686	366
652	686	364
653	687	363
654	688	362
655	689	361
656	689	360
657	690	359
658	691	357
659	692	356
660	693	355
661	694	354
662	695	353
663	696	352
664	697	351
665	697	349
666	698	348
667	699	347
668	700	346
669	701	345
670	701	344
671	702	342
672	703	341
673	704	340
674	704	339
675	705	338
676	707	337
677	708	336
678	708	335
679	709	333
680	710	332
681	711	331
682	711	330
683	712	329
684	713	327
685	714	326
686	714	325
687	715	324
688	716	323
689	717	322
690	717	321
691	718	319
692	719	318
693	721	318
694	722	317
695	723	315
696	723	314
697	724	313
698	724	312
699	725	310
700	726	309
701	727	308
702	727	307
703	728	306
704	728	304
705	729	303
706	729	302
707	730	301
708	730	300
709	731	298
710	732	297
711	732	296
712	733	295
713	734	294
714	735	293
715	735	291
716	736	290
717	737	289
718	737	288
719	738	287
720	739	286
721	740	285
722	741	283
723	741	282
724	742	281
725	742	280
726	743	279
727	744	278
728	744	276
729	745	275
730	746	274
731	748	273
732	748	272
733	749	271
734	750	270
735	751	269
736	752	268
737	752	267
738	753	266
739	754	264
740	754	263
741	755	262
742	756	261
743	756	260
744	757	259
745	758	258
746	758	257
747	759	255
748	760	254
749	762	254
750	762	252
751	763	251
752	764	250
753	766	250
754	767	249
755	768	248
756	769	247
757	770	245
758	771	244
759	771	243
760	772	242
761	772	241
762	773	240
763	774	239
764	775	238
765	776	237
766	776	236
767	777	234
768	778	233
769	778	232
770	779	231
771	779	230
772	780	229
773	781	228
774	781	226
775	782	225
776	782	224
777	783	223
778	783	222
779	784	221
780	785	220
781	785	219
782	786	217
783	787	216
784	788	215
785	789	214
786	789	213
787	790	212
788	791	211
789	791	210
790	792	209
791	792	208
792	793	207
793	794	206
794	794	204
795	795	203
796	795	202
797	796	201
798	796	200
799	797	199
800	798	198
801	798	197
802	799	196
803	799	194
804	800	193
805	801	192
806	803	192
807	803	191
808	804	189
809	805	188
810	805	187
811	806	186
812	806	185
813	807	184
814	808	183
815	808	182
816	809	181
817	809	180
818	810	179
819	810	177
820	811	176
821	811	175
822	812	174
823	813	173
824	813	172
825	814	171
826	815	170
827	816	169
828	817	168
829	818	167
830	818	166
831	819	165
832	819	164
833	820	163
834	820	162
835	821	161
836	822	160
837	822	159
838	823	158
839	824	156
840	824	155
841	825	154
842	825	153
843	826	152
844	827	151
845	828	150
846	829	149
847	830	148
848	830	147
849	831	146
850	832	145
851	832	144
852	833	143
853	833	142
854	834	141
855	835	140
856	835	139
857	836	138
858	836	137
859	837	136
860	838	135
861	838	134
862	839	133
863	839	132
864	840	131
865	841	130
866	841	129
867	842	128
868	843	127
869	844	126
870	845	125
871	845	124
872	846	123
873	847	122
874	847	121
875	848	120
876	848	119
877	849	118
878	849	117
879	850	115
880	851	114
881	851	113
882	852	112
883	853	111
884	853	110
885	854	109
886	854	108
887	855	107
888	856	107
889	857	106
890	858	105
891	859	104
892	859	103
893	860	101
894	860	100
895	861	99
896	862	99
897	862	97
898	863	96
899	863	95
900	864	94
901	864	93
902	865	92
903	866	91
904	867	91
905	867	90
906	868	89
907	868	88
