iter	Passed	Remaining
0	161	161611
1	164	81911
2	165	55039
3	169	42098
4	173	34448
5	174	28960
6	177	25142
7	179	22273
8	225	24793
9	226	22400
10	253	22772
11	254	20956
12	255	19398
13	258	18216
14	260	17112
15	262	16163
16	266	15396
17	269	14684
18	270	13959
19	271	13321
20	273	12761
21	275	12229
22	277	11774
23	280	11420
24	284	11084
25	285	10702
26	287	10377
27	289	10063
28	291	9754
29	295	9553
30	296	9276
31	297	9013
32	299	8771
33	300	8531
34	301	8300
35	302	8099
36	303	7911
37	308	7815
38	309	7633
39	310	7458
40	311	7291
41	312	7135
42	314	6988
43	315	6849
44	316	6726
45	318	6607
46	331	6724
47	333	6614
48	334	6492
49	335	6375
50	336	6262
51	337	6151
52	339	6066
53	340	5969
54	344	5910
55	345	5816
56	346	5728
57	359	5840
58	360	5754
59	361	5666
60	362	5581
61	363	5500
62	364	5420
63	366	5357
64	367	5283
65	368	5210
66	375	5232
67	377	5168
68	377	5099
69	378	5035
70	384	5032
71	398	5131
72	399	5070
73	400	5008
74	403	4976
75	408	4968
76	410	4920
77	412	4872
78	413	4820
79	414	4765
80	419	4764
81	421	4716
82	421	4661
83	422	4611
84	424	4565
85	425	4524
86	426	4477
87	427	4434
88	429	4391
89	430	4348
90	431	4307
91	445	4394
92	446	4351
93	447	4309
94	460	4384
95	462	4356
96	463	4317
97	465	4281
98	466	4244
99	467	4205
100	468	4167
101	469	4134
102	470	4097
103	506	4361
104	520	4435
105	521	4401
106	523	4365
107	526	4347
108	527	4315
109	528	4278
110	530	4247
111	531	4216
112	532	4179
113	534	4152
114	535	4122
115	536	4092
116	538	4063
117	539	4034
118	542	4018
119	544	3989
120	545	3960
121	545	3927
122	546	3896
123	547	3866
124	548	3836
125	549	3810
126	550	3781
127	550	3752
128	551	3726
129	553	3701
130	559	3710
131	560	3686
132	561	3660
133	562	3635
134	563	3609
135	565	3590
136	566	3565
137	566	3540
138	567	3516
139	568	3492
140	605	3691
141	606	3666
142	608	3644
143	610	3627
144	611	3604
145	612	3581
146	613	3558
147	614	3535
148	615	3513
149	616	3491
150	624	3509
151	625	3488
152	626	3467
153	641	3525
154	643	3505
155	643	3484
156	657	3530
157	658	3511
158	659	3490
159	661	3472
160	662	3450
161	663	3430
162	664	3409
163	666	3398
164	667	3378
165	668	3359
166	669	3339
167	670	3320
168	671	3301
169	672	3282
170	673	3263
171	674	3245
172	675	3226
173	676	3209
174	676	3191
175	677	3173
176	679	3160
177	680	3144
178	689	3160
179	690	3143
180	690	3126
181	691	3109
182	692	3092
183	695	3083
184	696	3069
185	699	3059
186	700	3045
187	701	3029
188	702	3013
189	707	3014
190	708	2999
191	710	2989
192	720	3012
193	722	3001
194	723	2986
195	724	2972
196	726	2960
197	727	2946
198	728	2933
199	729	2919
200	736	2927
201	737	2913
202	739	2901
203	740	2890
204	741	2877
205	743	2866
206	744	2852
207	747	2846
208	749	2835
209	750	2823
210	751	2810
211	752	2797
212	753	2784
213	755	2774
214	756	2760
215	757	2748
216	759	2741
217	788	2829
218	789	2815
219	790	2802
220	793	2797
221	796	2789
222	798	2780
223	799	2769
224	800	2757
225	801	2745
226	802	2732
227	803	2720
228	804	2709
229	805	2697
230	830	2763
231	832	2756
232	834	2746
233	844	2763
234	846	2754
235	848	2746
236	850	2737
237	851	2726
238	852	2714
239	855	2709
240	858	2702
241	859	2692
242	861	2682
243	862	2671
244	864	2664
245	867	2658
246	875	2667
247	876	2657
248	878	2649
249	880	2641
250	882	2633
251	889	2641
252	892	2634
253	893	2625
254	894	2614
255	896	2604
256	897	2595
257	907	2610
258	909	2601
259	910	2592
260	961	2723
261	964	2717
262	969	2717
263	974	2716
264	984	2729
265	993	2741
266	1005	2760
267	1021	2789
268	1022	2778
269	1025	2771
270	1026	2762
271	1029	2755
272	1030	2744
273	1031	2733
274	1051	2772
275	1057	2774
276	1070	2793
277	1071	2782
278	1072	2771
279	1073	2759
280	1074	2748
281	1075	2737
282	1076	2727
283	1077	2716
284	1079	2708
285	1080	2697
286	1088	2703
287	1089	2692
288	1090	2681
289	1091	2672
290	1092	2661
291	1107	2685
292	1108	2675
293	1110	2665
294	1111	2655
295	1127	2682
296	1131	2678
297	1135	2674
298	1136	2664
299	1137	2654
300	1139	2646
301	1142	2639
302	1146	2636
303	1148	2629
304	1149	2620
305	1151	2612
306	1153	2604
307	1155	2596
308	1158	2589
309	1160	2583
310	1162	2574
311	1163	2565
312	1165	2558
313	1168	2552
314	1170	2544
315	1172	2538
316	1175	2533
317	1177	2525
318	1179	2517
319	1180	2508
320	1182	2501
321	1185	2495
322	1194	2503
323	1195	2495
324	1197	2486
325	1198	2478
326	1201	2472
327	1230	2521
328	1233	2516
329	1237	2511
330	1240	2508
331	1244	2503
332	1245	2493
333	1245	2484
334	1246	2475
335	1268	2506
336	1273	2504
337	1274	2495
338	1276	2489
339	1279	2483
340	1280	2474
341	1282	2467
342	1285	2461
343	1294	2469
344	1296	2461
345	1298	2453
346	1300	2446
347	1303	2442
348	1305	2434
349	1306	2426
350	1314	2429
351	1316	2423
352	1321	2422
353	1333	2434
354	1336	2427
355	1337	2418
356	1348	2428
357	1354	2429
358	1355	2420
359	1363	2423
360	1367	2420
361	1370	2415
362	1379	2420
363	1381	2413
364	1399	2434
365	1401	2427
366	1403	2420
367	1406	2415
368	1408	2407
369	1409	2399
370	1417	2403
371	1420	2397
372	1422	2391
373	1423	2383
374	1426	2377
375	1428	2370
376	1430	2364
377	1432	2356
378	1433	2348
379	1434	2340
380	1437	2335
381	1439	2328
382	1439	2319
383	1440	2311
384	1441	2303
385	1443	2296
386	1445	2290
387	1449	2285
388	1452	2282
389	1454	2274
390	1455	2266
391	1457	2260
392	1458	2252
393	1460	2246
394	1461	2238
395	1468	2240
396	1470	2233
397	1471	2225
398	1473	2220
399	1474	2212
400	1476	2205
401	1477	2197
402	1482	2195
403	1482	2187
404	1484	2181
405	1485	2173
406	1487	2166
407	1488	2160
408	1490	2153
409	1491	2146
410	1492	2138
411	1493	2131
412	1495	2126
413	1496	2118
414	1498	2112
415	1500	2106
416	1501	2099
417	1502	2092
418	1505	2087
419	1508	2083
420	1511	2078
421	1513	2072
422	1514	2066
423	1516	2060
424	1519	2055
425	1520	2048
426	1522	2043
427	1523	2036
428	1524	2029
429	1525	2022
430	1527	2016
431	1527	2009
